custumdata,ids,labels,colors,parents
,Machine Learning,Machine Learning,white,
,Supervised,Supervised,#EF553B,Machine Learning
,Regression,Regression,"rgb(251,128,114)",Supervised
https://scikit-learn.org/stable/,Linear Regression,Linear Regression,"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Multivariate Adaptive Regression Splines (MARS),Multivariate<br>Adaptive Regression<br>Splines (MARS),"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Locally Weighted Scatterplot Smoothing (LOWESS),Locally Weighted<br>Scatterplot<br>Smoothing (LOWESS),"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Support Vector Regression (SVR),Support Vector<br>Regression (SVR),"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Decision Tree Regression,Decision Tree<br>Regression (CART),"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Random Forest Regression,Random Forest<br>Regression,"rgb(251,128,114)",Regression
https://scikit-learn.org/stable/,Classification,Classification,#ba2020,Supervised
https://scikit-learn.org/stable/,Logistic Regression,Logistic Regression,#ba2020,Classification
https://scikit-learn.org/stable/,Naive Bayes,Naive Bayes,#ba2020,Classification
https://scikit-learn.org/stable/,Support Vector Machines (SVM),Support Vector<br>Machines (SVM),#ba2020,Classification
https://scikit-learn.org/stable/,Decision Tree Classification,Decision Tree<br>Classification<br>(CART),#ba2020,Classification
https://scikit-learn.org/stable/,Random Forest Classification,Random Forest<br>Classification,#ba2020,Classification
https://scikit-learn.org/stable/,Adaptive Boosting (AdaBoost),Adaptive Boosting<br>(AdaBoost),#ba2020,Classification
https://scikit-learn.org/stable/,Gradient Boosted Trees,Gradient Boosted<br>Trees,#ba2020,Classification
https://scikit-learn.org/stable/,Extreme Gradient Boosting (XGBoost),Extreme Gradient<br>Boosting (XGBoost),#ba2020,Classification
https://scikit-learn.org/stable/,K-Nearest Neighbors (knn),K-Nearest Neighbors<br>(knn),#ba2020,Classification
https://scikit-learn.org/stable/,Neural Networks,Neural Networks,"rgb(252,205,229)",Supervised
https://scikit-learn.org/stable/,Feedforward Neural Networks (FFNN),Feedforward Neural<br>Networks (FFNN),"rgb(252,205,229)",Neural Networks
https://scikit-learn.org/stable/,Long Short Term Memory Networks (LSTM),Long Short Term<br>Memory Networks<br>(LSTM),"rgb(252,205,229)",Neural Networks
https://scikit-learn.org/stable/,Gated Reccurent Units (GRU),Gated Reccurent<br>Units (GRU),"rgb(252,205,229)",Neural Networks
https://scikit-learn.org/stable/,Convolutional Neural Networks (CNN),Convolutional Neural<br>Networks (CNN),"rgb(252,205,229)",Neural Networks
https://scikit-learn.org/stable/,Generative Adversarial Networks (GAN),Generative<br>Adversarial Networks<br>(GAN),"rgb(252,205,229)",Neural Networks
https://scikit-learn.org/stable/,Unsupervised,Unsupervised,#00CC96,Machine Learning
https://scikit-learn.org/stable/,Clustering,Clustering,#a3e897,Unsupervised
https://scikit-learn.org/stable/,K-Means,K-Means,#a3e897,Clustering
https://scikit-learn.org/stable/,Gaussian Mixture Models (GMM),Gaussian Mixture<br>Models (GMM),#a3e897,Clustering
