,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,ingressi_terapia_intensiva,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,zona,indice_rt
5460,2020-11-10,ITA,13,Abruzzo,42.35122196,13.39843823,530,46,576,9852,10428,556,746,4832,628,7882.0,8006.0,15888,323845,197902.0,,,,,,arancione,1.2655353522652033
5481,2020-11-11,ITA,13,Abruzzo,42.35122196,13.39843823,546,51,597,10353,10950,522,662,4956,644,8078.0,8472.0,16550,328068,199985.0,,,,,,arancione,1.3684352445821226
5502,2020-11-12,ITA,13,Abruzzo,42.35122196,13.39843823,547,52,599,10817,11416,466,541,5029,646,8236.0,8855.0,17091,330704,200964.0,,,,,,arancione,1.2937468567350872
5523,2020-11-13,ITA,13,Abruzzo,42.35122196,13.39843823,567,57,624,11284,11908,492,683,5205,661,8585.0,9189.0,17774,335473,203208.0,,,,,,arancione,1.2496920003479626
5544,2020-11-14,ITA,13,Abruzzo,42.35122196,13.39843823,545,59,604,12018,12622,714,939,5420,671,9457.0,9256.0,18713,340656,205812.0,,,,,,arancione,1.1926931971469443
5565,2020-11-15,ITA,13,Abruzzo,42.35122196,13.39843823,565,59,624,12410,13034,412,470,5469,679,9174.0,10008.0,19182,344353,207477.0,,,,,,arancione,1.1521921921530847
5586,2020-11-16,ITA,13,Abruzzo,42.35122196,13.39843823,571,59,630,12869,13499,465,642,5634,690,9249.0,10574.0,19823,347929,209407.0,,,,,,arancione,1.1542495286731567
5607,2020-11-17,ITA,13,Abruzzo,42.35122196,13.39843823,590,66,656,13352,14008,509,729,5841,703,9470.0,11082.0,20552,352882,211733.0,,,,,,arancione,1.131101997617167
5628,2020-11-18,ITA,13,Abruzzo,42.35122196,13.39843823,621,65,686,13704,14390,382,641,6091,712,9972.0,11221.0,21193,357482,213814.0,,,,,,arancione,1.010154480706233
5649,2020-11-19,ITA,13,Abruzzo,42.35122196,13.39843823,658,74,732,14130,14862,472,649,6259,721,9825.0,12017.0,21842,362295,215944.0,,,,,,arancione,1.022392452094236
5670,2020-11-20,ITA,13,Abruzzo,42.35122196,13.39843823,661,75,736,14642,15378,516,705,6430,739,10048.0,12499.0,22547,366943,218064.0,,,,,,arancione,1.016556897483286
5691,2020-11-21,ITA,13,Abruzzo,42.35122196,13.39843823,676,73,749,14848,15597,219,541,6717,774,10218.0,12870.0,23088,371339,219918.0,,,,,,arancione,0.969853434715306
5712,2020-11-22,ITA,13,Abruzzo,42.35122196,13.39843823,664,72,736,15395,16131,534,560,6731,786,10440.0,13208.0,23648,375917,221913.0,,,,,,rossa,0.9666974324155255
5733,2020-11-23,ITA,13,Abruzzo,42.35122196,13.39843823,672,71,743,15606,16349,218,640,7135,804,10650.0,13638.0,24288,380408,223871.0,,,,,,rossa,0.9515431282377013
5754,2020-11-24,ITA,13,Abruzzo,42.35122196,13.39843823,672,71,743,15913,16656,307,536,7344,822,10828.0,13994.0,24822,385071,225989.0,,,,,,rossa,0.9129541205089955
5775,2020-11-25,ITA,13,Abruzzo,42.35122196,13.39843823,676,72,748,16284,17032,376,623,7582,831,11396.0,14049.0,25445,389766,228016.0,,,,,,rossa,0.920878345306168
5796,2020-11-26,ITA,13,Abruzzo,42.35122196,13.39843823,694,74,768,16566,17334,302,570,7830,851,11607.0,14408.0,26015,394751,229937.0,,,,,,rossa,0.8966111451391422
5817,2020-11-27,ITA,13,Abruzzo,42.35122196,13.39843823,689,74,763,16797,17560,226,510,8097,868,11387.0,15138.0,26525,398946,231706.0,,,,,,rossa,0.8882041084390712
5838,2020-11-28,ITA,13,Abruzzo,42.35122196,13.39843823,680,77,757,17005,17762,202,532,8415,879,11819.0,15237.0,27056,403356,233698.0,,,,,,rossa,0.8666235926014877
5859,2020-11-29,ITA,13,Abruzzo,42.35122196,13.39843823,659,75,734,17306,18040,278,413,8543,886,11912.0,15557.0,27469,407501,235487.0,,,,,,rossa,0.821959412046943
5880,2020-11-30,ITA,13,Abruzzo,42.35122196,13.39843823,714,76,790,17402,18192,152,556,8939,893,18812.0,9212.0,28024,411685,237280.0,,,,,,rossa,0.7970254396838605
5901,2020-12-01,ITA,13,Abruzzo,42.35122196,13.39843823,697,76,773,17415,18188,-4,396,9326,906,14700.0,13720.0,28420,415586,238795.0,,,,,,rossa,0.7925065171760153
5922,2020-12-02,ITA,13,Abruzzo,42.35122196,13.39843823,703,74,777,17207,17984,-204,381,9890,927,14657.0,14144.0,28801,419970,240318.0,,,,,,rossa,0.7767107640386729
5943,2020-12-03,ITA,13,Abruzzo,42.35122196,13.39843823,698,76,774,17054,17828,-156,395,10428,940,0.0,0.0,29196,424370,241874.0,8.0,,,,,rossa,0.764955279628544
5964,2020-12-04,ITA,13,Abruzzo,42.35122196,13.39843823,700,73,773,17019,17792,-36,408,10857,955,,,29604,428610,243415.0,6.0,,,,,rossa,0.6663897568912743
5985,2020-12-05,ITA,13,Abruzzo,42.35122196,13.39843823,675,73,748,16499,17247,-545,376,11764,969,,,29980,433771,245073.0,3.0,,,,,rossa,0.6741659429644911
6006,2020-12-06,ITA,13,Abruzzo,42.35122196,13.39843823,667,71,738,16350,17088,-159,294,12206,980,,,30274,438472,246492.0,2.0,,,,,rossa,0.6706162849106939
6027,2020-12-07,ITA,13,Abruzzo,42.35122196,13.39843823,678,73,751,15890,16641,-447,124,12768,989,,,30398,440108,246934.0,5.0,,,,,rossa,0.6511760560010745
6048,2020-12-08,ITA,13,Abruzzo,42.35122196,13.39843823,658,69,727,15722,16449,-192,312,13267,994,,,30710,444065,248363.0,4.0,,,,,rossa,0.6439261654448355
6069,2020-12-09,ITA,13,Abruzzo,42.35122196,13.39843823,666,64,730,15591,16321,-128,264,13650,1003,,,30974,446996,249398.0,2.0,,,,,rossa,0.6537479306077868
6090,2020-12-10,ITA,13,Abruzzo,42.35122196,13.39843823,657,65,722,15269,15991,-330,227,14197,1013,,,31201,449788,250253.0,6.0,,,,,rossa,0.7206698951016893
